ID	target	implied_statement
575793884103634880	Obama	Obama is stupid.
917600568369180672	Jews	Jews are money grubbing people
778335919090888704	Blacks	Blacks aid terrorism
798653222642712448	Jews	Jews are always late.
831228717053669376	Black people	Black people are dangerous
939997877564248064	MUSLIMS	MUSLIMS ARE CORRUPT
925381491441504256	white people	White people are better looking and smarter than other races.
917834192724967424	Immigrants	Implying that immigrants should be outside U.S
904373576270262272	white people	White people get a lot of hate.
890333812303048704	white people	White people are poor and uneducated.
203935117633269760	Jews	Jews don't like white people.
636658027026886656	whites	whites deserve to be overrun with immigrants
916152999269060613	Minorities	Minorities are racists against whites
511145770784145408	Germans	Germans believe in Hitler.
371350732282138625	Islamic people	Islamic people want to kill people.
515366653018648576	al-queda	al-queda wants to kill Indians
898997801132199941	Blacks	Blacks target whites for crime
343314772588105728	white women	White women are beautiful.
852258927240658944	Immigrants	Immigrants place whites in jeopardy.
872220685413867524	Illegals	Illegals are dishonest.
489530465036931072	white people	White people don't like Jews.
706327625954959360	white people	White people are scared.
937722429098651650	Whites	Whites are intolerant racists
805195765391982593	Black people	Black people are undesirable
921236628814757890	Immigrants	Immigrants want to displace natives
466307320839155713	Blacks	Blacks advocate for white slaughter
939601752957079552	Conservatives	Conservatives destroy cultures
903824808567300096	white people	White people are minorities.
940732517174448000	Black folks	Black folks are not intelligent.
293958792067043328	White folks	Whites are trash
799466368223440896	Sharia	Sharia is violent.
897247293027561472	white people	white people are disposable
881592527358500870	Muslims	Muslims are violent.
916381488257683457	White liberals	White liberals want to kill Trump supporters.
828978232754061312	US citizens	US citizens are more important than aliens.
876810209464692736	Immigrants	Immigrants are a burden
598311820223520769	white people	White people have microaggression.
852979718491996160	Muslims	Muslims are violent and kill Christians
425327309181034496	Indian journalists	Indian journalists are dishonest.
896731060758872064	Leftists and Blacks	Leftists and Blacks are inferior
900814058194165760	Democrats	Democrats are second class.
896874004258181120	Minorities	Minorities taunt and manipulate whites
409029002607996928	white people	White people are being killed.
768367197668409344	whites	white destruction in America
879870691914391553	immigrants	illegal immigrants are changing countries
847916804840280064	Minorities	Minorities are incompetent
813909633945333760	Gay people, Jews	Jews in the media are repressing my pro-Hitler free speech and anti-semitism.
841322789428703232	Minorities	Minorities are incompetent.
930085054453338112	Muslims	Muslim people have several wives.
888978430347411456	whites	whites hide behind their social position
674948134016049153	Muslims	Muslims rape white people.
287370711889240064	White people	White people are lazy and diseased
323943334756352000	Muslims	Muslims are extremists
532747542698549248	Jews	Jews are enemies of everyone
654154550555885568	Jews	Jews are substandard people
822157603371368320	Illegal immigrants	Illegal immigrants should get deported
722236019819614208	alt-right	alt-right are too extreme
843256328638234624	Immigrants	Immigrants have to be deported
929859561850392576	Polish people	Polish people are low class
938118552149807109	White people	White people are declining
841763448572776448	Latinos	Latinos will work for anyone if they're paying
867729925381509120	Alt-Left	Alt-Left are fearful criminals.
849032432036618241	white people	White people aren't as important as black people.
670545004285329408	Jews	Jews control the media
518503345611624448	Jews	Jews are not white
896862009458913280	Immigrants	Immigrants are homicides
890736152348643330	Alt-Right people	Alt-Right people have no values
902241574733586432	Minorities	Minorities blame whites for all the problems.
728260554930978816	Progressives	Progressives are weak.
874623573322862598	Islamic people	Islamic people are trying to kill other people.
946918121931231232	white people	White people are better than other races.
797070138822508545	White people, Black People	White people and Black people can't co-exist in the same place without fighting
858388074182717440	Muslims	Muslims force people to learn about their God.
836120308293775364	Liberals	Liberals are stupid
583376936535109633	fat white women	Fat white women love black men.
803673842988318720	Whites	Whites muffle the voices of Islam.
500383201114988544	Black Panthers	Black Panthers are racist.
872586096634281984	refugees	Refugees are rapists.
713561193928073216	immigrants	Immigrants are enemies.
910207308679962625	Jews	Jews are devious
945399089822347264	muslims	Muslims are violent
899128695142699008	Immigrants	Immigrants are stupid
891391953899724800	white people	White people are priveleged.
577879581731991552	Minorities	Minorities are subpar races
946436301355737088	Immigrants	Immigrants are invaders
672624457391837184	Minorities	Minorities are inferior to whites.
793846741854326784	Muslims	Muslims want to subject the world to Sharia Law
941185190474539008	Corporate leaders	Corporate leaders are dishonest
940498972736737280	Whites	whites are held to a different standard than blacks
467365398468239361	Muslims	Muslims are terrorists.
899835654401662976	Conservatives	Conservatives hate whites
638200500781981696	non-white people	non-white people are inferior
920046514457731073	old white guys	Old white guys are in danger.
287050696812011520	Whites	Whites believe in their own racial primacy.
686013369082621953	whites	whites are racist toward blacks
778752754130890754	Jews	Jews conspire against whites
884779055308054528	Minorities	Minorities are hypocrites
933086218925035520	Rich people	Rich people should be erased.
689583899576500224	Not specified	The group are sheep and follow each other.
510102386841354240	Jews	Jews are racist against white people
942856631653687296	Muslims	Muslims want to kill.
883544988679852032	non-white people	non-white people are unaccomplished
925718220966908032	Immigrants	Immigrants are to blame for the death of people
385468764940034048	Immigrants	Immigrants are taking over
884136321152819200	Muslims	Muslims are violent
866341383111532544	Illegal immigrants	Illegal immigrants will work for anything
891406013995339776	Liberals	Liberals are stupid
732338205907804160	Muslims Refugees	Muslims refugees are part of isis.
918588798619054080	cops	Cops don't kill many black people.
664831384201142272	Indian	Indian look like monkeys.
907896435336720384	People of color	People of color hate white people just because they're white
571048548206284800	whites	whites are claiming America
903776133300277120	Police	Police are pigs and kill people.
862249828075655168	alt-left	The alt-left is sneaky and conniving.
898200739335610370	Antifas	Antifas are communists
908144546831314949	Minorities	Minorities are low IQ
538828634492907520	Minorities	Minorities are lower than whites.
607709960550514688	Minorities	Minorities are criminals
916732057870569477	non-white people	non-white people are terrorists
735500686687764481	black people	black people are killers.
894676046322307073	white people	White people are superior.
902651801434034184	Blacks	Blacks have little intelligence.
736073775335100418	white Christians	White Christians are the only people good for the nation.
946863208509341568	Immigrants	Immigrants threaten the country
819583481919324161	Immigrants	Immigrants want to displace white people
940810499490447360	white people	White people are oppressed.
935244581670567936	immigrants	Immigrants are on welfare
941051971162791936	Black people, gat people, white/rich liberals	Black people make poor political decisions
917675268243783680	non-whites	Non-whites are destroying white neighborhoods.
938676418438823936	Iranians	Iranians are a substandard people.
271030342826205184	Gay people	Gay people are hateful.
874302805103738880	Muslims	Muslims live under a natural animalized order
849686113924952064	Jews	Jews don't like Muslims.
890798897156677632	People of color	People of color need to be ruled by white people
794129453777645568	Democrats	Democrats love Muslims.
928402494954319872	Black folks	Blacks should be sent to Africa
889659194122661888	Illegal/undocumented people.	Undocumented people are criminals.
854996642034049024	Whites	Whites hate other races.
923714699396608000	Whites	Whites are self-serving
820388676521828358	Secularists	Secularists are stupid
700159179705622528	white people	White people are bad.
765728490629005312	black people	Black people hate white people.
684535610783195137	white people	Violence against white people is okay.
679774502289563649	Minorities	Minorities steal white culture
295653138952749056	black people	Black people kill white people.
600484680681545728	Black people	Black people are violent
822662955372343296	Muslims	Muslims are anti-life
783722001110298624	Muslims	Muslims are threatening
767044138072023040	Progressives	Progressives repress whites
934251402288926720	white people	White people are peaceful.
795077018446626816	Mexicans	Mexicans are threatening
796041032987267072	Immigrants	Comparing immigrants rights with black people rights
879494869709926400	whites	whites benefit from white supremacy
914085123422908416	immigrants	Immigrants are ruining the country.
233604811260579841	Jewish people	Jews hate white people.
923937139787624448	Minorities	Minorities pollute the white race
854361124606705664	SPLC members	SPLC members hate white people.
723887564633968640	Jews	Jews embellish their oppression
946383752187580416	Immigrants	Immigrants have stereotypes that are easy to recognize
556904809974878208	Blacks	Blacks are hypocrites
899133398270201856	Jews	Jews are bad.
818899746672754688	non-white people	non-white people are the real racists
833507964640190465	Immigrants	Immigrants displace whites
897853527984394241	whites	white supremacists are growing because of violence against whites
925149584724299777	Minorities	Minorities look to the destruction of white culture.
864507131646455809	Minorities	Minorities are lower than whites
921391170860736256	Immigrants	Immigrants should be deported
892744337070608390	Whites	Whites are uncivilized
917391418032836609	Jewish people	Jewish people are violent and trying to take over the world
938456154686083072	women	women are irresponsible
893963862936080386	Minorities	Minorities fall below whites level.
843980116011221120	Immigrants	Immigrants should be shot down.
896409501976281088	White people	White people built America
925834530442874881	Non-whites	Non-whites shouldn't be allowed to immigrate.
652232080269647872	Muslims	Muslims have a horrible culture
926977658608500736	Muslims	Muslims are killers.
124238294216228864	white people	White people need to stick together.
798320462241628160	Immigrants	Immigrants should be deported
861667084203421696	white people	White people have been brainwashed.
342709065757110273	non-white people	non-white people are a threat
820399440129302528	Mexican	Mexican will be kicked out by trump.
927294374333075456	Minorities	Minorities are manipulative
502513284818284545	Blacks	Blacks victimize whites
669959838244425729	Blacks	Blacks are subpar compared to whites
195529545246457856	Muslims	Muslims terrorize whites
888893975431712768	Black people	Black people are violent.
846935468058980352	Jews	Jews embellish their persecution
696163268973309952	Minorities	Minorities are substandard races
670333787046289408	immigrants	immigrants are dirty and hostile invaders that destroy civilized culture
863826638542393344	non-white people	non-white people are oppressors
749112957158563841	non-white people	non-white people are violent
926208556252254208	White people	White genocide is real
723378088352964613	Minorities	Minorities are subpar races
652158386193076224	Jews	Jews are not like white nationalists.
896787016628682754	Blacks	Blacks are gullible
470679860109910017	Islamic people	Islamic people are murderers.
889724390300016640	White women	White women are not able to have opinion
940799588537159681	Jews	Jews are manipulative
760931201024614400	Immigrants	Immigrants are profiteers.
910894776425369600	LGBQTI	have sad lives.
898439575508353024	Black people	Black people are violent
457897605599465474	Minorities	Minorities are less than human.
886823655044399104	white people	White people are dying out.
934503003649961984	Non-americans	Eugenics speech implying non-americans are inferior
800735893514547200	White people	White people have no rights
822981936213819393	Communists	Communists preach that all people are equal, but betrayed human rights in the USSR
771130362491699200	Khazars	Khazars are substandard people
941808455744139265	Immigrants	Immigrants are unwanted
826453540797190145	white people	White people are superior.
938395209481801728	Minorities	Minorities are less than whites
890238399797485572	english white jew	calling a person a name.
677657938803191808	muslims	muslims mistreat their female partners
650724087099076608	Minorities	Minorities have wiped out the white race
650528980878143488	Conservatives	Conservatives are greedy.
726949382109671424	Illegal aliens	Illegal aliens are drug traffickers.
947562387724419072	Black folks.	Diminishing black lives matter protest.
941912034962214656	Criminals	Criminals have to be killed
871827589689692160	Muslims	Muslims should not wear jihad.
934842177548464128	Minorities	Minorities are politically manipulative
721035538506104832	Minorities	Minorities are degenerate
928394009197850629	White Progressives	White Progressives hate the white race
924819644707426304	Black people	Black people are racist
933183060660457473	Minorities	Minorities want to take over the world.
835723171437363200	non-white people	non-white people are unaccomplished
882985160299466754	non-white immigrants	Non-white immigrants are bad for America.
731977531880935424	Disabled people	Disabled people are violent
662348355381497856	white people	White people don't need welfare.
732397426187718658	transgender people	transgender people are confused
897008799071993728	Immigrants	Immigrants are primitive tribesmen
212655312786833408	non-white people	non-white people are inferior
921022457129197570	People of color	People of color are inferior to white people
746710509462888320	Muslims	Muslims want to implement islamic law in the US
940277058944483328	non-white people	non-white people are oppressors
898487560573407232	Jews	Jews hate white people.
734017925196189696	non-white people	non-white people are hateful
597949430189326337	White people	White people are racist skinheads
892479884139913218	Minorities	Minorities are subpar races
770793092723146752	non-white people	non-white people are enemies
930476723858296833	Minorities	Minorities take from whites
425042350797111296	Jewish people	Jewish people are rich.
857681354393354244	non-white people	non-white people are colonizers
880891596647972864	Jews	Jews don't like white people.
835572046767730688	Arabs	Arabs are hypocrites
598903288432435200	white people	White people can't say what they are thinking.
619703296408731648	Blacks	Blacks commit crimes
922195321379278848	non-white people	Non-white people are stupid.
505900431374319616	White people	White people are racists
836582871770902528	Black folks and Jewish folks	Black folks and Jewish folks are parasites on white civilization
439900228531924992	white people	White people need to stick together.
912890719349612545	Jews	Jews control the media
370064778237997056	black people	Black people kill whites.
GAB_10362	Pedophiles	Pedophiles are rabid animals.
887115087970021376	white police	white police attack blacks
884553449706319872	Liberals	Liberals encourage white shame
806657676805570560	Immigrants.	Immigrants must be thrown out of the country.
428590254962905088	Muslims	Muslims banishes Non-Muslims
827563534120787970	Jews	Jews pay for radicals.
727910805191196672	white people	White people cause problems.
847662734053261314	white people	White people are in danger.
931593236149358592	White people	White people like trump.
924693046159065088	Black people	Black people are inferior to white people and need to be segregated
901162469992808448	Anti-whites	Anti-whites hate white people
921128209848119302	Islam followers	Islam followers want to destroy other civilizations
878629796141576192	Illegal immigrants	Illegal immigrants are protected in America
700833783935684609	Muslims	Muslims are barbaric
892929738955730949	white folks	whites are not racists
632218147706269696	No specific group	These people should be killed
898270220569235461	Muslims	Muslims are subversives
820494466855403521	Jewish people	Jewish people are hurting.
664629423551979520	Not specified	the group would believe anyting.
833094382924369920	Immigrants	Immigrants are second class citizens.
922575120639709185	Jews	Jews are substandard
722684283601727488	Jews	Jews are inferior
575298389803425792	James craig	James craig is irrevelant and stupid.
712874724427243520	Muslims	Muslims are rapists.
832037332786089984	white people	White people don't like Black Lives Matter.
928362578383863809	blacks	blacks hate whites
674799800513007616	Minorities	Minorities are substandard
365505446158671873	Liberals	Liberals are weak and feeble
935934929514397696	jewish people	Jewish people have unfavorable characteristics.
745495477974556673	Minorities	Minorities want to wipe out whites
918958698348900480	Muslims	Muslims are criminals and beasts
946224729593122816	black people	Black people are liars.
409449025088155648	Jews	Jews are liars
930872230980005760	Immigrants	Immigrants have to be deported
856511684541796352	Muslims	Muslims are terrorists
928335400749367299	Liberals	Liberals are communists
468840602361397248	Southerners	Southerners are dishonest.
909186516496166656	Immigrants	Immigrants should be deported
514431947032911874	Black people	Black people are unsophisticated
922696399220862976	Minorities	Minorities weaken the white race
809497391799877636	white people	White people are superior.
945694925844135941	white people	White people are the only people that care about white people.
924125378632962048	Whites	Whites try to rip people off.
745113670393335810	Indians	Indians are corrupt thieves.
881964125470941185	White conservatives	White conservatives degrade latins.
133953638962958336	Minorities	Minorities are unskilled
934252176846835712	black people	black people are racist.
899515518901682176	Muslims	Muslims are terrorists
725909842838179840	Minorities	Minorities are at war with whites.
916719988966416384	Immigrants	Immigrants should be deported
916634796905975808	Jews	Jews are power hungry.
687377894369177600	whites	whites are racists
794904508954349440	Illegal immigrants	Illegal immigrants should get deported
423132774233419776	islamist	islam is immoral
766333730742996993	Gay Jews	Gay Jews are aggressive
794422821296304128	Jews	Jews run everything.
886163187892092932	gay people	Gay people are wrong.
709598269756809217	Male Conservatives	Male Conservatives are feeble and frail.
920854764006584320	Immigrants	Immigrants are illegally in this country and hate Americans
691469678833696769	African immigrants	African immigrants are dangerous.
627132772138618880	Jews	Jews are looking to wipe out the white race
626542190357934081	Minorities	Minorities are substandard
897165112561221632	stupid people	Stupid people cannot understand ramifications
945724586892574720	Blacks	Blacks have special privilege
817411199985807360	non-whites	Non-whites are racist.
643500269851017216	Minorities	Minorities are prejudiced towards whites.
942457374140280832	Liberals	Liberals are hippies and have to go to the middle east
99252223082643440	Immigrants	Immigrants are stupid
917473599396700032	Immigrants	Immigrants should be deported
917174435181940736	immigrants	Immigrants don't belong in the country.
834122898499567617	white people	White people don't marry Jews.
930519626521481216	white folks	white folks are racists
900237829489401856	Minorities	Minorities are hypocritical
286956186895544322	white people	White people stop others from progressing.
943448079964893184	Liberals	Liberals are bigots.
742369498884407296	muslims	muslims dominate
907072810857766912	Left	Leftists are racist against white people
946770435731087360	white people	White people think they are better than other races.
872278766684221441	white people	white people are unfairly discriminated against just for being white
869892635594342400	non-white folks	Non-white folks did nothing to build the country
557194869211291648	Minorities	Minorities overbreed
938345708930981888	Progressives	Progressives hate whites.
900184478345293825	Leftists	Leftists support terrorism
941621620636114944	Politician	Politician should be expelled
898964332591144960	non-white people	non-white people are not American
705942652571639808	Muslims	Muslims are bigots
930554424518328320	Black folks	Blacks are dangerous and the police must stop them
896537481146925057	Minorities	Minorities are inferior
324230652453089281	whites	whites are racists
404349321812140032	Blacks	Blacks are violent criminals.
893075340125503488	white people	White people are racist.
896055386297450496	Leftists	Leftists are subpar human beings
687543767268749313	People of color	People of color are murdering rapists
359016756997668864	Minorities	Minorities are substandard races.
882071094773022720	Not specified	the group should be executed.
945261746545192960	Minorities	Minorities are against whites
889488682637561858	liberals	Liberals are sensitive.
929911362523873280	immigrants	immigrants deserve no rights, no protections and should be guarded against at all costs
856980667871236097	Jews	Jews don't defend white people.
738504004112637952	Jews	Jews want the white race to fall
836481415503982592	Black people	Black people are on welfare.
720391203058003970	immigrants	immigrants always get turned loose by border patrol.
846804703254073344	People of color	People of color what white people to go away and take over America
922514348018405377	white people	White people founded America.
875734653503762432	Muslims	Muslims are not citizens and should not have any laws to assist them
804143451386298368	Blacks	Blacks are not self-governing
904277501555261440	non-white people	non-white people are inferior
853730637081186304	Immigrants	Immigrants should be deported
772928974171365376	muslims	Muslims don't get censored.
833089435579277313	Minorities	Minorities hate whites
906993471717855233	Immigrants	Immigrants want to erase native culture
642558438363426817	non-white people	non-white people are oppressors
924462989314592768	white people	White people are on drugs.
825056168817025026	Minorities	Minorities are inferior
684396938691784704	anti-nationals	Anti-nationals are a blight on the nation that should be killed
873711354254905346	Leftists	Leftists hate whites
645070114790903808	Immigrants	Immigrants should be killed
276180058966728705	Blacks	Blacks are inferior
829543553625968640	Jews	Jews are not white.
523664736945074176	No specific group	See above
909120019287519232	Black folks	Blacks are not equal and should not be citizens
923632385127800832	Minorities	Minorities are second class citizens.
556735232162820096	Blacks	Blacks hold double standards.
816840360206987266	whites	anti-white hatred from BLM
936007939617382401	white folks	hate speech and violence against whites
902216940365762560	Liberals	Liberals hate whites.
796571461939036160	Minorities	Minorities are substandard people
830182618360639488	Minorities	Implying that minorities are supported by George Soros
855242103231827968	non-white people	non-white people are inferior
851220183247147009	Liberals	Liberals are ignorant
946558293505343488	white people	White people hate others.
618494869938438144	Gays	Gays do not follow God's plan.
933541317140811776	non-white people	non-white people are less valuable
298983682704801792	southern white men	Southern white men are bad in bed.
888461808859787264	Mexican immigrants	Mexican immigrants steal American jobs
865017113001504640	Immigrants	Immigrants are scoundrels and the scum of society
GAB_2233	Black folks	Black people should be sent away
280731927948959744	Jewish people	Jewish people don't like white people.
839494413269233664	Immigrants	Immigrants are all baghead
924037674847129600	Minorities	Minorities are against whites
916500341813891072	Minorities	Minorities want to take what isn't theirs.
573680441024200705	white liberals	White liberals are racist.
626130288331124736	White people	White genocide is accelerating.
798152810940362752	Muslims	Muslims hate the French
897162102942703616	Minorities	Minorities oppress whites
880653149417205762	white folks	whites are racists
459288175995670528	Christians	Christians are ignorant
858253640515166208	Immigrants	Immigrants are supplanting white people
654911222366646272	Jews	Jews don't like non-whites.
810527087903801344	Minorities	Minorities are unintelligent
906201971417329664	Minorities	Minorities despise whites.
566801149395619840	Muslims	Muslims should be deported
924448920146776064	Conservative males	Conservative males are cowards
660053485434609664	non-white people	non-white people are inferior
882684654742110208	Muslims	Muslims hate Americans.
607829831867355137	Non-white	Non-whites are criminals
866261999650561920	Natives	Natives are savages.
872884232338722816	black men	Black men want white women.
532746219689230336	nationalists	nationalists think other than white races should stay in their own countries.
875678865733144576	Muslims	Muslims are killers
942314370427707392	Immigrants	Immigrants are poor
847890496156561408	Transracials	Transracials are abnormal
233606483852550145	Jews	Jews hate whites
517674956382277632	Liberals	Liberals don't like communists.
891915279726510080	Illegal hispanics	Illegal hispanics are a lower class.
637268227265982465	Immigrants	Immigrants are invaders
728663525569265665	white people	White people should die.
333934954595635200	Minorities	Minorities are inferior human beings
767444617276952448	immigrants	Immigrants are here illegally
943486585164783617	Muslims	Muslims are inferior
890626158768791552	jews, iraqis	rapists, murderers
673259889909739520	Immigrants	Immigrants are rapists
711557911483260928	white people	White people founded the US.
277057058677854208	non-white people	non-white people are inferior
762726129329278848	Immigrants	Immigrants should be deported
GAB_25641	black folks	Black people should suffer
928074525647998720	Indian	Indian use fake degree to get job.
868116708120305664	Jews	Jews are not white
534499912659247105	Whites	Whites are racists
751883677659959296	Multiracials	Multiracials are abnormal
930085173252648960	Whites	Whites are causing the problems in the world.
863813034141253632	Whites	Whites are feeble and inadequate.
724199279921754112	Blacks	Blacks despise whites.
914617744955514880	Conservative males	Conservative males are stupid and weak.
852340158833856513	white people	White people don't care about their welbeing.
921748462437306368	Black people	Making racism a simple and trivial thing
906354452646346753	Minorities	Minorities blame whites
537964786567643136	black people	Black people are predictable.
826241611529125893	white people	White people hate other white people.
426162615065522176	non-white people	non-white people are violent
932297749504102400	white people	White people think they are better than blacks.
349192530262372353	Minorities	Minorities are inferior races
898393586017894400	non-white people	non-white people cannot be European
880170527704457216	immigrants	immigrants are illegals and are milking the country without accountability
775847129088745472	Minorities	Minorities have taken over America
936382047928684544	Minorities	Minorities assert themselves over whites.
822126360625877120	Illegals	That illegals get aid
242966401994850305	Muslims	Muslims are violent.
910281160089104384	Black folks	Black people are stupid
643077257859330050	Muslims	Muslims are inferior.
549999668323573760	Blacks	Blacks are morally superior
730079990700593154	Black people	Black people are dangerous
897994046773317633	non-white people	non-white people are inferior
918384367571033856	No specific group	See above
934837812800696320	white people	White people think they are better than anyone else.
893907537472475136	white people	White people are dying.
890651663920320512	Muslims	Muslims should get killed
841192802889342976	Whites	Whites are defective
904368859230068737	Liberals	Liberals are stupid.
923956468268838912	Minorities	Minorities are incompetent to meet their own needs
402584148017025024	White people	White race is at war with Non-whites
550752324579119104	blacks	blacks are racist against whites
875069131229454337	SPLC	SPLC hates conservatives and whites.
740982481038548994	Jews	Jews rule the entertainment industries.
903447109973757954	non-white people	non-white people are undeserving
851199032139579520	Not specified	the group should not have the same job than us.
823392562639572992	White supremacists	White supremacists want race war
334366573877936128	Jews	Jews are cowards
924058330884136961	the right	The right is weak.
883014005354311682	Blacks	Blacks kill blacks
608733922030186496	Black people	Black people hates white people
672058591352893440	White people	White people are hated by other races
904896169318514692	Minorities	Minorities are substandard
912446850401050624	Blacks	Blacks are violent criminals
856966230670012417	Jews	Jews hate Christians and whites.
930820627182653441	Jews and Muslims	Jews and Muslims are enemies
893654071395090432	Minorities	Minorities are inferior to whites
334724323313065984	white people	White people should be proud of their race.
796508184265433089	non-white people	non-white people are oppressors
853787414757859330	Antifa members	Antifa members are violent.
854773684162220032	Whites	Whites are illegals also
938629267591651200	immigrants	Immigrants don't assimilate
621891258861121536	Muslims	Muslims are murderers
841449421825019905	Liberals	Liberals are dishonest
871198851490762752	Muslims	Muslims are murderers.
697255234419232768	Immigrants	Immigrants want to displace natives
935216518262116352	Minorities	Minorities are dishonest
909087005472169984	black people	Black people are violent.
739987135030251520	Muslims	Muslims are backwards thinking
885507060472967170	Minorities	Minorities are subpar human beings
551623429246312448	Pakistanis	Pakistanis are terrorists
564492540330528768	Hindus	Hindus are in danger.
818666644352315393	Black Lives Matter supporters	Black Lives Matter supporters kidnap people
298114188579061761	Minorities	Minorities have overtaken cities.
839881256313712641	white people	white people are superior to other races
880046305686560769	white people	White people are killed.
891587321866342400	Muslims	Muslims are killers.
672874832061726720	Progressives	Progressives exclude whites
865321162087292928	Blacks	Blacks are incapable of self-governing
797249030870941696	white people	White people are dying out.
863823304334987265	non-white people	non-white people are inferior
249208587593867265	white people	White people are dying out.
645557686629740545	Conservative males	Conservative males are feeble and ineffective.
867090187096031234	white South Africans	White South Africans are in danger.
928199724821250048	Muslims	Muslims invade other societies
760634344884932608	Liberals	Liberals are against whites.
883813971630804992	Muslims and liberals	Muslims and liberals want to conquer and destroy whites
895046106035474435	Immigrants	Immigrants are violent.
904365127755067392	Leftists	Leftists are dishonest
934369717921435648	Minorities	Minorities are threatening
751335277663248384	Liberals	Liberals are against whites.
699750297560879104	old white men	Old white men are racist.
853706165842313216	Whites	Whites are weak and spineless.
908392627430551680	Immigrants	Immigrants should be deported
356143003720626177	Black people	Black people burn white communities
895459894828048385	Arabs	Arabs are anti-jew
867545577248231424	Immigrants	immigrants should leave the country.
290922904160444416	Jewish people	Jewish people hate white people.
896808071028256768	Conservative males	Conservative males are effeminate
891424527242153984	Minorities	Minorities promote hatred towards whites.
896003443931848705	Blacks	Blacks are hypocrites
850568340850585600	Alt-right followers	Alt-right followers are weak
680285973276528640	Blacks	Blacks commit most of the crime.
621430307040980992	Jews	Jews don't like white people.
747403707428503552	immigrants	immigrants are dirty
940798780705788032	White people	White people are lazy
825910010546753408	Immigrants	Immigrants should be banned from migrating as they are associated with ISIS
809432701010931712	islamic	Islamic people hate others.
