post	target	implied_statement
may he rest in peace . i didnt know him  i bet he was a good man . stood for what was right  the white race .	Minorities	Minorities are substandard races
: video : czechs pledge loyalty to homeland and the reich ( 1942 )	Minorities	Minorities are subhuman
oh, great! another magnet to attract the wrong kind of people we want in the us. we will never sol	Immigrants	Immigrants are bad for the country
majority of the black people die because of abortion and more white people die in the hands of cops than blacks wake up all lives matter	cops	Cops kill white people.
can anyone explain to me why we aren't using nukes, its the only solution	Immigrants	Immigrants have to be killed with nukes
i read stories of states which drove off whites  their economies failed . poor africans cried and begged for whites to return .	white people	White people keep economies running.
what happened to his open boarder policy and we love everyone, come on in???	Illegal immigrants	Illegal immigrants should stay out
run your own nations .. your invasion only hurts the ethnic makeup of those distinct european countries .	immigrants	illegal immigrants are changing countries
god bless the work of . these leaflet drops should be the standard for white advocacy in america .	Minorities	Minorities are inferior.
black supremacy is an oxymoron  or a transition state until white money runs out	Blacks	Blacks are incapable of self-governing
the 1790 naturalization act explicitly stated that america was only for white	white people	White people have laws made for them.
i vote for the guillotine! a head for a head! if this was the punishment maybe they would think twice	Criminals	Criminals have to be killed
start breeding or else white genocide accelerates in france : 1 in 3 newborns are non-white via	white people	White people are in danger.
feel for ya man, im native cali, these libturds ruined this state & now want to retire in nice states like yours.theyre a disease. sorrybro	Liberals	Liberals are a negative influence on culture and have ruined any nice place to live
people are getting more tribal and racially aware every day  mainly due to leftists going all-out anti-white  and pro-white-genocide . thus .	Progressives	Progressives are against whites.
nothing acceptable about it! if i ever catch someone sexually abusing a child, i'll have no problem siting in jail for putting a hot round in the back of their skull!	pedophiles	pedophiles abuse children
white nationalists are not going to be the spearhead of change in the socialist direction .	white nationalist	white nationalist are not socialists
i say them animals.don't need them here, unless?	Immigrants	Immigrants are animals
of course it leads only to the extinction of the white race .	white people	White people are dying out.
no amount of foreign aid can substitute for an inherent racial lack of capacity for freedom .	Minorities	Minorities are controlling
spoken like a true nonwhite. even more, a race who shits on the streets. pinnacle civilization lmao	Black folks	Black people are uncivilized
thank you for your all white video  now deport yourselves . you're not native american  you're breaking your own law . leave .	White people	White people are colonizers
they need to lead the army in there and arrest anyone with gang tats  clothes  illegal fir	Minorities	Minorities are violent gang members.
hey u pay ben ben u said that not enough money in israel to pay meso ben and kkk netanyahu away ad min	Israelites	Israelits lie about not having enough money since they support racism.
we can burn the flag and police watch and do nothing but if we throw a book in the toilet they invest	Police	Police are not here for justice, they choose their fight.
dr . david duke : will the white race survive ? ( video ) via	People of color	People of color want to eliminate white people
america hates you kkkliven bundy gun humpers :) keep making the wrinkly white wing of gop trailer trash whiter & wrinklier	White conservatives	White conservatives are low class
stick him in an mri machine, film the magnets ripping all that shit out of his flesh,	No specific group	See above
where do black people perform at the white or asian level ? anywhere ?	Black people	Black people are inferior to white people and asian people
: addendum : western politicians damage also europe christianity by ' pandering ' to islam . actually they dama	Muslims	Muslims are a threat
" rt : richard lynn and helmuth nyborg reply to ron unz '  "" debunking "" "" of genetic basis for group iq differences : ... """	non-white people	non-white people are not smart
what about all the blacks that kill other blacks on a daily basis ? shouldn't you be outraged over that ?	Black people	Black people are violent
after #sanjose  #nevertrump sides with mexican nationalists attacking their own people ...	Mexican nationalists	Mexican nationalists hate Mexicans.
what will take for a black person who kills a white person to actually be charged with a hate crime ?	black people	Black people kill white people.
good for them . i hope this wakes more white people up .	Whites	Whites are ignorant
white resistance increases as minority status looms #swrm #white via	Minorities	Minorities are taking over.
pl . do not listen to your american advisors born in india but now agents of jews like governor and others	Jews	Jews are conspirators
illegals border crossing numbers are back up to obama era number's what say you mr golfer president where is all the winning you blather on about your actions make you another dc swamp dwellers can't hide the facts anymore!	Illegal Immigrants	Illegal Immigrants should be kept out of the usa.
what race is jihad mass murder again ? #savage you are true racist scum of the lowest gutter .	Muslims	Muslims want to kill non-believers.
us white cop kills black man	cops	Cops kill black people.
blame the white man . gets tiresome .	Minorities	Minorities blame others for their problems
white self hate .	whites	white guilt
yes legal immigrants only. stop heroin traffic, jihadists, save jobs. a no brainer, no hrc no problems!	Illegal immigrants, muslims	Illegal immigrants are killers who bring drugs and violence into the country.
- mosloms call us racist  i am starting to think they should be classified that way  as a race  not a religion .	Muslims	Muslims are bigots
they'll sell the country over anal sex. total degenerate pigs.	Homosexual	Homosexual are degenerate.
it has one useful purpose. fancy toilet paper. ban islam islam bad	Muslims	Muslims are worthless
" nice  kill white people  wowlots of love blacklivesmatterseattle :  "" we need to start killing people "" "" via """	White people	White people kill Black people
punisher cuck for sure . he is more coherent & knows what he is doing yet still does it . cuck knight is	Male conservatives	Male conservatives are effeminate and weak.
i'm white stupid . tell you what  we will give you an extra welfare check and you move to a white country .	Minorities	Minorities freeload off of whites.
a racist : any white man who argues with a jew .	Jews	Jews are dishonest
muslim's are putting in practice. if mohammed done it, then it's fine.	Muslims	Muslims take everything they hear as the truth
i say take them east of maryland about 200 miles toss em out and let em swim back	Not specified	the group should be thrown away.
i dont know what white sharia is . anyway  its not a male / female thing is patently false . i know the decay of the west isnt solely because of womens suffrage  but it has played a part . just look at the gender	women	women are irresponsible
that's why white conscientious has exploded . whites are realising this is an existential mom	Minorities	Minorities are inferior
ironically  didn't you say that you wanted to be segregated from whites ? you can't have it both ways  junior .	whites	Whites should be segregated.
poland, japan, hungaryno muslims, no jihad!	Muslims	Muslims should not wear jihad.
find a white wife . be a red-piller  not an oil-driller .	Minorities	Minorities are low class people.
i think it'll be covered once all the #illegals are out!	Immigrants	Immigrants are a problem
bret stephens admits that the ( ( ( conservative movement ) ) ) steered conservatism away from tradition  blood and soil .	Conservatives	Conservatives are incompetent
the idea that globalism is a positive sum game for everyone is irrational, some win, some lose	Immigrants	Immigrants should be deported
